"id","major_id","year","method","score","note","url","created_at","updated_at"
73,13,2024,"Diem thi THPT",26.83,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.140208","2026-08-11 13:54:02.140208"
74,14,2024,"Diem thi THPT",27.71,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.140515","2026-08-11 13:54:02.140515"
75,15,2024,"Diem thi THPT",27.57,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.140893","2026-08-11 13:54:02.140893"
76,16,2024,"Diem thi THPT",28.02,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.141568","2026-08-11 13:54:02.141568"
77,17,2024,"Diem thi THPT",27.30,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.142454","2026-08-11 13:54:02.142454"
78,18,2024,"Diem thi THPT",26.71,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.143257","2026-08-11 13:54:02.143257"
79,19,2024,"Diem thi THPT",27.29,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.143966","2026-08-11 13:54:02.143966"
80,20,2024,"Diem thi THPT",27.79,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.14451","2026-08-11 13:54:02.14451"
81,21,2024,"Diem thi THPT",27.10,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.145008","2026-08-11 13:54:02.145008"
82,22,2024,"Diem thi THPT",26.96,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.14551","2026-08-11 13:54:02.14551"
83,23,2024,"Diem thi THPT",27.25,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.145898","2026-08-11 13:54:02.145898"
84,24,2024,"Diem thi THPT",36.36,"Môn Toán hệ số 2","https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.146215","2026-08-11 13:54:02.146215"
85,25,2024,"Diem thi THPT",27.15,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.146507","2026-08-11 13:54:02.146507"
86,26,2024,"Diem thi THPT",26.91,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.1468","2026-08-11 13:54:02.1468"
87,27,2024,"Diem thi THPT",27.05,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.147164","2026-08-11 13:54:02.147164"
88,28,2024,"Diem thi THPT",35.55,"Môn Toán hệ số 2","https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.147466","2026-08-11 13:54:02.147466"
89,61,2024,"Diem thi THPT",35.94,"Môn Toán hệ số 2","https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.148231","2026-08-11 13:54:02.148231"
90,29,2024,"Diem thi THPT",35.17,"Môn Toán hệ số 2","https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.149082","2026-08-11 13:54:02.149082"
91,62,2024,"Diem thi THPT",35.00,"Môn Toán hệ số 2","https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.15041","2026-08-11 13:54:02.15041"
92,30,2024,"Diem thi THPT",27.89,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.151012","2026-08-11 13:54:02.151012"
93,31,2024,"Diem thi THPT",26.81,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.151446","2026-08-11 13:54:02.151446"
94,32,2024,"Diem thi THPT",26.85,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.151865","2026-08-11 13:54:02.151865"
95,33,2024,"Diem thi THPT",26.71,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.152265","2026-08-11 13:54:02.152265"
96,34,2024,"Diem thi THPT",26.94,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.152598","2026-08-11 13:54:02.152598"
97,35,2024,"Diem thi THPT",26.76,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.152941","2026-08-11 13:54:02.152941"
98,36,2024,"Diem thi THPT",26.87,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.153264","2026-08-11 13:54:02.153264"
99,37,2024,"Diem thi THPT",26.85,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.15362","2026-08-11 13:54:02.15362"
100,38,2024,"Diem thi THPT",27.01,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.15405","2026-08-11 13:54:02.15405"
101,39,2024,"Diem thi THPT",36.25,"Môn Tiếng Anh hệ số 2","https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.154404","2026-08-11 13:54:02.154404"
102,40,2024,"Diem thi THPT",26.57,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.154704","2026-08-11 13:54:02.154704"
103,41,2024,"Diem thi THPT",26.97,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.155258","2026-08-11 13:54:02.155258"
104,42,2024,"Diem thi THPT",27.20,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.156009","2026-08-11 13:54:02.156009"
105,43,2024,"Diem thi THPT",27.00,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.156781","2026-08-11 13:54:02.156781"
106,44,2024,"Diem thi THPT",27.48,NULL,"https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-quoc-dan-KHA.html","2026-08-11 13:54:02.157496","2026-08-11 13:54:02.157496"
